#JOOS et al.,
#NP B113,53
#
#
#DIPION CHANNEL CROSS SECTION
#Location: T 1
#
#.	W IN GEV : 1.3 TO 1.4	W IN GEV : 1.4 TO 1.5	W IN GEV : 1.5 TO 1.6	W IN GEV : 1.6 TO 1.7	W IN GEV : 1.7 TO 1.8	W IN GEV : 1.8 TO 2.0	W IN GEV : 2.0 TO 2.2	W IN GEV : 2.2 TO 2.5	W IN GEV : 2.5 TO 2.8	W IN GEV : 2.8 TO 3.0
#.	RE : GAMMA* P --> P PI+ PI-
#.
#Q2 IN GEV**2	SIG(NAME=U) + EPS*SIG(NAME=L) IN MUB
#
#0.3 TO 0.4
#0.4 TO 0.5
#0.5 TO 0.6
#0.6 TO 0.7
#0.7 TO 0.8
#0.8 TO 1.0
#1.0 TO 1.2
#1.2 TO 1.4
#
0 0 26 0
0.3  0.4  13.6  1.8
0.4  0.5  14.7  1.9
0.5  0.6   7.2  1.5
0.6  0.7   6.4  1.7
0.7  0.8   3.3  1.5
0.8  1.0   4.0  1.5
1.0  1.2   5.6  2.6
1.2  1.4  10.3  6.1


0 0 72.1 0
0.3  0.4  40.3  3.0
0.4  0.5  26.8  2.5
0.5  0.6  23.4  2.6
0.6  0.7  24.8  3.3
0.7  0.8  21.7  3.7
0.8  1.0  16.3  3.0
1.0  1.2  15.4  4.3
1.2  1.4  10.1  5.1


0 0 73.0 0
0.3  0.4  40.9  3.0
0.4  0.5  37.3  2.8
0.5  0.6  32.1  3.0
0.6  0.7  26.8  3.3
0.7  0.8  21.2  3.6
0.8  1.0  19.4  3.1
1.0  1.2  15.0  3.9
1.2  1.4  12.1  5.5


0 0 71.2 0
0.3  0.4  42.6  3.0
0.4  0.5  38.8  2.8
0.5  0.6  27.6  2.7
0.6  0.7  24.4  3.1
0.7  0.8  24.3  3.7
0.8  1.0  17.8  2.8
1.0  1.2  21.8  4.6
1.2  1.4  21.0  8.3


0 0 61.0 0
0.3  0.4  36.8  2.8
0.4  0.5  35.0  2.7
0.5  0.6  29.3  2.8
0.6  0.7  26.6  3.3
0.7  0.8  31.7  4.3
0.8  1.0  18.3  2.8
1.0  1.2  13.7  3.6
1.2  1.4   3.3  2.3


0 0 53 0
0.3  0.4  27.1  1.6
0.4  0.5  24.0  1.4
0.5  0.6  20.6  1.6
0.6  0.7  17.2  1.8
0.7  0.8  15.9  2.1
0.8  1.0  13.0  1.6
1.0  1.2  13.1  2.2
1.2  1.4  10.3  3.1


0 0 42 0 
0.3  0.4  21.7  1.6
0.4  0.5  16.3  1.3
0.5  0.6  14.5  1.4
0.6  0.7  11.7  1.5
0.7  0.8  14.5  2.0
0.8  1.0  11.4  1.6
1.0  1.2   7.2  1.6
1.2  1.4  15.2  7.5


0 0 32.6 0
0.3  0.4  15.7  1.4
0.4  0.5  13.3  1.0
0.5  0.6   9.6  1.1
0.6  0.7  11.4  1.4
0.7  0.8  11.5  1.7
0.8  1.0   8.4  1.2
1.0  1.2   4.4  1.2
1.2  1.4   1.3  1.0


0 0 25.5 0
0.3  0.4  9.9  1.9
0.4  0.5  7.9  1.0
0.5  0.6  7.2  1.1
0.6  0.7  5.2  1.1
0.7  0.8  7.9  1.6
0.8  1.0  3.3  0.9
1.0  1.2  2.2  0.9
1.2  1.4  4.5  2.5


0 0 23.5 0 
0.3  0.4   0 0 
0.4  0.5  2.3  0.8
0.5  0.6  5.2  1.3
0.6  0.7  4.0  1.4
0.7  0.8  2.0  1.1
0.8  1.0  2.8  1.2
1.0  1.2  3.1  1.6
1.2  1.4  5.3  4.2
